id,eui,name,connected_at,disconnected_at,is_connected,last_connected,downtime_duration,last_uplink_received_at,last_downlink_received_at,last_status_received_at
eui-000080029c07af60,000080029C07AF3F,IDU00475-Ian Demo Gateway-2,2022-09-29 08:51:35,,True,2022-09-29 17:48:04,0.0,2022-09-29 17:48:04,2022-09-29 17:41:57,2022-09-29 17:47:47
eui-000080029c07af64,000080029C07AF41,IDU00412-Somerset-PWX,2022-09-23 19:02:20,,True,2022-09-29 17:48:09,0.0,2022-09-29 17:40:58,2022-09-29 17:40:59,2022-09-29 17:48:09
eui-000080029c07af73,000080029C07AF4B,IDU00443-PWX,2022-09-22 22:46:57,,True,2022-09-29 17:48:32,0.0,2022-09-29 17:48:32,2022-09-29 17:06:25,2022-09-29 17:48:06
eui-000080029c07af7a,[],IDU00382-Concentrix-UPA-G-GF UPS room,2022-09-22 22:47:01,,True,2022-09-29 17:48:04,0.0,2022-09-29 17:48:04,2022-09-29 08:45:00,2022-09-29 17:47:51
eui-000080029c07af7e,000080029C07AF4F,IDU00398-QC Regional Evacuation Center-PWX,2022-09-24 18:09:59,,True,2022-09-29 17:48:23,0.0,2022-09-29 17:48:01,2022-09-29 17:21:51,2022-09-29 17:48:23
eui-000080029c07af82,000080029C07AF5B,IDU00409-SH C5 ROAD EXTENSION PASAY COSS-PWX,2022-09-22 22:46:56,,True,2022-09-29 17:48:11,0.0,2022-09-29 17:48:05,2022-09-29 17:46:27,2022-09-29 17:48:11
eui-000080029c07af8a,000080029C07AF5F,IDU00411-BPI E. Aguinaldo Hi-way-PWX,2022-09-22 22:46:58,,True,2022-09-29 17:48:00,0.0,2022-09-29 17:48:00,2022-09-29 17:44:30,2022-09-29 17:47:49
eui-000080029c07af8b,000080029C07AF60,IDU00377-Cebu- Teradyne GF-PWX,2022-09-22 22:46:59,,True,2022-09-29 17:48:26,0.0,2022-09-29 17:48:26,2022-09-29 17:47:03,2022-09-29 17:48:24
eui-000080029c07af94,000080029C07AF64,IDU00401-Eugenio Lopez SR. High School-PWX,2022-09-22 22:47:02,,True,2022-09-29 17:48:13,0.0,2022-09-29 17:32:13,2022-09-29 17:32:13,2022-09-29 17:48:13
eui-000080029c07af96,000080029C07AF73,IDU00400-SH C5 JULIA VARGAS COSS-PWX,2022-09-22 22:46:59,,True,2022-09-29 17:48:22,0.0,2022-09-29 17:48:22,2022-09-29 17:48:22,2022-09-29 17:48:17
eui-000080029c07af97,000080029C07AF7A,IDU00410-BPI The District Imus-PWX,2022-09-25 16:14:10,,True,2022-09-29 17:48:11,0.0,2022-09-29 17:48:03,2022-09-29 17:47:19,2022-09-29 17:48:11
eui-0001c497bffb3f8,000080029C07AF7E,"IDU00186-Jose P. Laurel Hwy, Lipa, Batangas-PWX",2022-09-25 10:46:15,,True,2022-09-29 17:48:27,0.0,2022-09-29 17:48:27,2022-09-29 17:34:26,2022-09-29 17:48:04
eui-0016c001f11e6e92,000080029C07AF82,Pico Next Jethro Test,,,False,,0.0,,,
eui-0016c001f11e7c1f,000080029C07AF8A,PICO-00011-PWX,,,False,,0.0,,,
eui-0016c001f11e7de8,000080029C07AF8B,PICO-00009-PWX,,,False,,0.0,,,
eui-0016c001f11e8386,000080029C07AF94,PICO-00008-PWX,,,False,,0.0,,,
eui-0016c001f11e85f3,000080029C07AF96,PICO-00012-PWX,,,False,,0.0,,,
eui-0016c001f11e8716,000080029C07AF97,PICO-000NA10-PWX,,,False,,0.0,,,
eui-0016c001f11e87f6,00001C497BFFB3F8,PICO-00010-PWX,,,False,,0.0,,,
eui-0016c001f11ecbea,0016C001F11E6E92,PICO-0000N/A-PWX,,,False,,0.0,,,
eui-0016c001f1556eaf,0016C001F11E7C1F,PICO-00004-Pico Next Indoor Gateway Testing,,,False,,0.0,,,
johann-basics-station-1,0016C001F11E7DE8,johann-basics-station-1,,2022-09-29 17:47:21,False,0001-01-01 01:01:00,0.0,,,
johann-non-basic-station-test,0016C001F11E8386,johann-non-basic-station-test,,,False,,0.0,,,
